State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
California,Pacific,West,Female,35-44,Female 35-44,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Illinois,East North Central,Midwest,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,No,No,No,,No credit cards,,No,No,No,Moderately agree,4,1,1,1,3,1,1,,3,,1,12,Low
Missouri,West North Central,Midwest,Male,65+,Male 65+,"Some college, no degree","Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,No,,Yes,Moderately agree,5,1,,5,3,3,3,,3,,1,19,Moderately Low
Arizona,Mountain,West,Female,45-54,Female 45-54,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,,Yes,Neither agree nor disagree,4,1,,5,3,3,3,,3,1,3,22,Average
Ohio,East North Central,Midwest,Female,45-54,Female 45-54,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,3,3,3,3,1,3,28,Moderately High
Missouri,West North Central,Midwest,Male,65+,Male 65+,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,No credit cards,,Yes,,Yes,Moderately agree,7,5,,5,3,3,3,,3,,1,23,Average
Florida,South Atlantic,South,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,4 to 8,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,1,3,1,1,3,22,Average
Florida,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,No,No,,2 to 3,No,No,,Yes,Moderately disagree,6,1,,5,3,1,1,,3,3,3,20,Average
California,Pacific,West,Female,55-64,Female 55-64,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Indiana,East North Central,Midwest,Female,25-34,Female 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,No,4 to 8,No,No,Yes,No,Moderately agree,5,1,3,1,3,3,1,1,3,3,3,22,Average
Michigan,East North Central,Midwest,Female,45-54,Female 45-54,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Indiana,East North Central,Midwest,Male,65+,Male 65+,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,Prefer not to say,,Prefer not to say,,Yes,,Prefer not to say,Prefer not to say,Prefer not to say,5,,0,3,3,0,,3,,0,14,Moderately Low
Minnesota,West North Central,Midwest,Female,45-54,Female 45-54,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,1,3,3,1,3,26,Average
Pennsylvania,Middle Atlantic,Northeast,Female,45-54,Female 45-54,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Prefer not to say,Yes,2 to 3,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,0,3,3,1,3,23,Average
